element,time
508, 743.000000
509, 747.000000
510, 738.000000
511, 748.000000
512, 745.000000
513, 744.000000
514, 744.000000
515, 745.000000
516, 740.000000
517, 746.000000
518, 744.000000
519, 808.000000
520, 749.000000
521, 737.000000
522, 738.000000
523, 744.000000
524, 737.000000
525, 739.000000
526, 742.000000
527, 741.000000
528, 750.000000
529, 753.000000
530, 746.000000
531, 749.000000
532, 749.000000
533, 748.000000
534, 750.000000
535, 741.000000
536, 752.000000
537, 739.000000
538, 746.000000
539, 750.000000
540, 750.000000
541, 739.000000
542, 739.000000
543, 767.000000
544, 748.000000
545, 743.000000
546, 749.000000
547, 742.000000
548, 748.000000
549, 749.000000
550, 745.000000
551, 745.000000
552, 765.000000
553, 740.000000
554, 750.000000
555, 739.000000
556, 745.000000
557, 740.000000
558, 747.000000
559, 746.000000
560, 773.000000
561, 739.000000
562, 736.000000
563, 744.000000
564, 741.000000
565, 743.000000
566, 747.000000
567, 743.000000
568, 747.000000
569, 747.000000
570, 750.000000
571, 745.000000
572, 753.000000
573, 746.000000
574, 758.000000
575, 745.000000
576, 748.000000
577, 750.000000
578, 750.000000
579, 739.000000
580, 746.000000
581, 750.000000
582, 746.000000
583, 742.000000
584, 750.000000
585, 742.000000
586, 744.000000
587, 739.000000
588, 739.000000
589, 746.000000
590, 751.000000
591, 741.000000
592, 743.000000
593, 746.000000
594, 741.000000
595, 743.000000
596, 739.000000
597, 746.000000
598, 745.000000
599, 747.000000
600, 750.000000
601, 747.000000
602, 768.000000
603, 751.000000
604, 750.000000
605, 739.000000
606, 752.000000
607, 742.000000
608, 745.000000
609, 743.000000
610, 742.000000
611, 743.000000
612, 741.000000
613, 748.000000
614, 748.000000
615, 745.000000
616, 749.000000
617, 745.000000
618, 750.000000
619, 745.000000
620, 745.000000
621, 743.000000
622, 735.000000
623, 742.000000
624, 738.000000
625, 755.000000
626, 746.000000
627, 747.000000
628, 745.000000
629, 745.000000
630, 760.000000
631, 748.000000
632, 747.000000
633, 744.000000
634, 742.000000
635, 746.000000
636, 748.000000
637, 743.000000
638, 758.000000
639, 743.000000
640, 741.000000
641, 743.000000
642, 742.000000
643, 748.000000
644, 745.000000
645, 767.000000
646, 745.000000
647, 743.000000
648, 747.000000
649, 750.000000
650, 750.000000
651, 740.000000
652, 737.000000
653, 747.000000
654, 742.000000
655, 748.000000
656, 747.000000
657, 739.000000
658, 748.000000
659, 739.000000
660, 770.000000
661, 741.000000
662, 748.000000
663, 743.000000
664, 748.000000
665, 743.000000
666, 746.000000
667, 748.000000
668, 741.000000
669, 745.000000
670, 748.000000
671, 741.000000
672, 741.000000
673, 756.000000
674, 750.000000
675, 750.000000
676, 749.000000
677, 743.000000
678, 741.000000
679, 747.000000
680, 743.000000
681, 740.000000
682, 736.000000
683, 740.000000
684, 744.000000
685, 741.000000
686, 761.000000
687, 743.000000
688, 749.000000
689, 746.000000
690, 745.000000
691, 741.000000
692, 750.000000
693, 745.000000
694, 741.000000
695, 741.000000
696, 744.000000
697, 747.000000
698, 745.000000
699, 742.000000
700, 745.000000
701, 750.000000
702, 737.000000
703, 743.000000
704, 739.000000
705, 742.000000
706, 795.000000
707, 748.000000
708, 742.000000
709, 744.000000
710, 738.000000
711, 743.000000
712, 745.000000
713, 744.000000
714, 740.000000
715, 738.000000
716, 741.000000
717, 745.000000
718, 747.000000
719, 742.000000
720, 746.000000
721, 739.000000
722, 740.000000
723, 745.000000
724, 746.000000
725, 748.000000
726, 741.000000
727, 745.000000
728, 741.000000
729, 747.000000
730, 748.000000
731, 745.000000
732, 747.000000
733, 749.000000
734, 767.000000
